Lenght in meter		Lenght in inch		in feet
-----------------------------------------------------------------
001					00.0254				000.305
002					00.0508				0000.61
003					00.0762				000.914
004					000.102				0001.22
005					000.127				0001.52
006					000.152				0001.83
007					000.178				0002.13
008					000.203				0002.44
009					000.229				0002.74
010					000.254				0003.05
011					000.279				0003.35
012					000.305				0003.66
013					0000.33				0003.96
014					000.356				0004.27
015					000.381				0004.57
016					000.406				0004.88
017					000.432				0005.18
018					000.457				0005.49
019					000.483				0005.79
020					000.508				00006.1
021					000.533				00006.4
022					000.559				0006.71
023					000.584				0007.01
024					0000.61				0007.32
025					000.635				0007.62
026					0000.66				0007.92
027					000.686				0008.23
028					000.711				0008.53
029					000.737				0008.84
030					000.762				0009.14
031					000.787				0009.45
032					000.813				0009.75
033					000.838				00010.1
034					000.864				00010.4
035					000.889				00010.7
036					000.914				0000011
037					0000.94				00011.3
038					000.965				00011.6
039					000.991				00011.9
040					0001.02				00012.2
041					0001.04				00012.5
042					0001.07				00012.8
043					0001.09				00013.1
044					0001.12				00013.4
045					0001.14				00013.7
046					0001.17				0000014
047					0001.19				00014.3
048					0001.22				00014.6
049					0001.24				00014.9
050					0001.27				00015.2
051					00001.3				00015.5
052					0001.32				00015.8
053					0001.35				00016.2
054					0001.37				00016.5
055					00001.4				00016.8
056					0001.42				00017.1
057					0001.45				00017.4
058					0001.47				00017.7
059					00001.5				0000018
060					0001.52				00018.3
061					0001.55				00018.6
062					0001.57				00018.9
063					00001.6				00019.2
064					0001.63				00019.5
065					0001.65				00019.8
066					0001.68				00020.1
067					00001.7				00020.4
068					0001.73				00020.7
069					0001.75				0000021
070					0001.78				00021.3
071					00001.8				00021.6
072					0001.83				00021.9
073					0001.85				00022.3
074					0001.88				00022.6
075					0001.91				00022.9
076					0001.93				00023.2
077					0001.96				00023.5
078					0001.98				00023.8
079					0002.01				00024.1
080					0002.03				00024.4
081					0002.06				00024.7
082					0002.08				0000025
083					0002.11				00025.3
084					0002.13				00025.6
085					0002.16				00025.9
086					0002.18				00026.2
087					0002.21				00026.5
088					0002.24				00026.8
089					0002.26				00027.1
090					0002.29				00027.4
091					0002.31				00027.7
092					0002.34				0000028
093					0002.36				00028.3
094					0002.39				00028.7
095					0002.41				0000029
096					0002.44				00029.3
097					0002.46				00029.6
098					0002.49				00029.9
099					0002.51				00030.2
100					0002.54				00030.5
